<<<<<<< HEAD
Date,Article title,link,publisher,Article sentiment
None,3 High-Yield Oil and Gas Dividend Stocks Hovering Around 52-Week Lows to Buy in September,https://finance.yahoo.com/m/dfb11a04-9452-35c3-8d92-dcde682c27c9/3-high-yield-oil-and-gas.html,Motley Fool,negative
None,3 Top High-Yield Oil Stocks to Buy in September,https://finance.yahoo.com/m/e8faea8a-d5e9-3548-8f2e-be18da8108b5/3-top-high-yield-oil-stocks.html,Motley Fool,negative
2024-09-06T11:54:15.000Z,"Jefferies Initiates Coverage on Chord Energy With Hold Rating, $160 Price Target",https://finance.yahoo.com/news/jefferies-initiates-coverage-chord-energy-115415734.html,MT Newswires,neutral
2024-09-05T04:48:05.000Z,,,,Nan too long
None,Impact of Covid-19 on Whiting Petroleum,https://finance.yahoo.com/m/eaf152f5-ec62-3769-b181-025cbae51591/impact-of-covid-19-on-whiting.html,Offshore Technology,negative
2024-08-17T12:15:34.000Z,,,,Nan too long
2024-08-16T10:45:54.000Z,,,,Nan too long
None,Chord Energy Corp Exits Highlight Donald Smith & Co's Q2 Portfolio Adjustments,https://finance.yahoo.com/news/chord-energy-corp-exits-highlight-160154226.html,GuruFocus.com,negative
=======

>>>>>>> e2861054bc496071f254cf3c90274d6271d1a257
